roomid,vector,formula
临大辛庄机房,BUSINESS,{D}
临大辛庄机房,DEVICE,{F}
临大辛庄机房,LEASE,0
临大辛庄机房,OFFICE,0
临大辛庄机房,PRODUCT,{B}
临大辛庄机房,PUE,({A}-{B})/{F}
临大辛庄机房,TOTAL,{A}
阳闫楼机房,BUSINESS,{A}-{B}
阳闫楼机房,DEVICE,{F}
阳闫楼机房,LEASE,0
阳闫楼机房,OFFICE,0
阳闫楼机房,PRODUCT,{B}
阳闫楼机房,PUE,{B}/{F}
阳闫楼机房,TOTAL,{A}
莘769张鲁支局新2层综合1,TOTAL,{Z}
莘769张鲁支局新2层综合1,BUSINESS,{Z}-{F}-{G}-{H}
莘769张鲁支局新2层综合1,OFFICE,0
莘769张鲁支局新2层综合1,LEASE,0
莘769张鲁支局新2层综合1,PRODUCT,{F}+{G}+{H}
莘769张鲁支局新2层综合1,DEVICE,{F}
莘769张鲁支局新2层综合1,PUE,({F}+{H})/{F}
冠5847定寨机房,TOTAL,{A}
冠5847定寨机房,BUSINESS,{A}-{B}-{C}
冠5847定寨机房,OFFICE,{C}
冠5847定寨机房,LEASE,0
冠5847定寨机房,PRODUCT,{B}
冠5847定寨机房,DEVICE,{F}+{G}
冠5847定寨机房,PUE,({B}-{G})/{F}
茌484洪屯机房,TOTAL,{A}
茌484洪屯机房,BUSINESS,{D}
茌484洪屯机房,OFFICE,{A}-{B}-{D}
茌484洪屯机房,LEASE,0
茌484洪屯机房,PRODUCT,{B}
茌484洪屯机房,DEVICE,{F}
茌484洪屯机房,PUE,{B}/{F}
高固河机房,TOTAL,{A}
高固河机房,BUSINESS,{A}-{B}
高固河机房,OFFICE,0
高固河机房,LEASE,0
高固河机房,PRODUCT,{B}
高固河机房,DEVICE,{F}
高固河机房,PUE,({B}-{G})/{F}
东陈集机房,TOTAL,{A}
东陈集机房,BUSINESS,{A}-{B}
东陈集机房,OFFICE,0
东陈集机房,LEASE,0
东陈集机房,PRODUCT,{B}
东陈集机房,DEVICE,{F}
东陈集机房,PUE,({B}-{G})/{F}
聊八甲刘,TOTAL,{A}
聊八甲刘,BUSINESS,{A}-{B}
聊八甲刘,OFFICE,0
聊八甲刘,LEASE,0
聊八甲刘,PRODUCT,{B}
聊八甲刘,DEVICE,{F}
聊八甲刘,PUE,({B}-{G})/{F}
聊张炉集机房,TOTAL,{Z}
聊张炉集机房,BUSINESS,{Z}-{F}-{H}
聊张炉集机房,OFFICE,0
聊张炉集机房,LEASE,0
聊张炉集机房,PRODUCT,{F}+{H}
聊张炉集机房,DEVICE,{F}
聊张炉集机房,PUE,({F}+{H})/{F}
聊广平支局,TOTAL,{A}
聊广平支局,BUSINESS,{A}-{B}
聊广平支局,OFFICE,0
聊广平支局,LEASE,0
聊广平支局,PRODUCT,{B}
聊广平支局,DEVICE,{F}
聊广平支局,PUE,{B}/{F}
